gene	transcript	chromosome	start_position	end_position
USP20	ENST00000315480	9	132596977	132644107
MSL2	ENST00000309993	3	135867764	135916083
OSBPL2	ENST00000313733	20	60813580	60871268
TNKS2	ENST00000371627	10	93558069	93625033
NEDD8	ENST00000250495	14	24686058	24701660
PLEKHO1	ENST00000369124	1	150121373	150136916
RPL31	ENST00000409028	2	101618177	101640494
CEP57	ENST00000325542	11	95523129	95565857
SMC4	ENST00000357388	3	160117062	160152750
FAM76B	ENST00000358780	11	95502106	95523573
ING5	ENST00000313552	2	242641450	242668893
ABCC9	ENST00000261200	12	21950335	22094336
STX16	ENST00000371141	20	57226328	57254582
BLMH	ENST00000261714	17	28575218	28619074
TDRD7	ENST00000355295	9	100174232	100258407
RPS6KC1	ENST00000366960	1	213224589	213448116
DTX4	ENST00000227451	11	58938903	58976060
DNM3	ENST00000358155	1	171810621	172387606
HMCN1	ENST00000271588	1	185703683	186160085
GRN	ENST00000053867	17	42422614	42430470
PCDHGC3	ENST00000308177	5	140855580	140892542
SGSM1	ENST00000400359	22	25202236	25323545
ING2	ENST00000302327	4	184426147	184432249
C17orf75	ENST00000577809	17	30651584	30677042
PDGFA	ENST00000354513	7	536895	559933
ZBTB5	ENST00000307750	9	37438111	37465396
SLC39A9	ENST00000336643	14	69864732	69929105
RPS26	ENST00000356464	12	56435637	56438116
TMOD1	ENST00000259365	9	100263462	100364030
MARCH9	ENST00000266643	12	58148881	58154190
SEMA5A	ENST00000382496	5	9035138	9546187
NPR1	ENST00000368680	1	153651113	153666468
HECA	ENST00000367658	6	139456249	139501939
GIGYF1	ENST00000275732	7	100277130	100287071
VPS13A	ENST00000360280	9	79792269	80036457
VPS26A	ENST00000373382	10	70883268	70932617
RBM46	ENST00000281722	4	155702365	155749965
SLC20A1	ENST00000272542	2	113403434	113421404
CDK2	ENST00000266970	12	56360553	56366568
ZNF248	ENST00000395867	10	38091751	38147034
FAM126A	ENST00000432176	7	22980878	23053749
B3GNT5	ENST00000326505	3	182971032	183016292
HK2	ENST00000290573	2	75061108	75120486
TAZ	ENST00000299328	X	153639854	153650065
CNTN5	ENST00000524871	11	98891683	100229616
PRKAB2	ENST00000254101	1	146626685	146644129
TPT1	ENST00000530705	13	45911008	45915505
ASF1A	ENST00000229595	6	119215384	119230332
PAPPA2	ENST00000367662	1	176432307	176814735
PFDN1	ENST00000261813	5	139624624	139682706
GRM2	ENST00000395052	3	51741086	51752629
STARD7	ENST00000337288	2	96850597	96874563
RNF34	ENST00000392465	12	121837844	121868389
PDE9A	ENST00000291539	21	44073746	44195619
TARBP2	ENST00000266987	12	53894705	53900215
ABCA1	ENST00000374736	9	107543283	107690518
RBMS1	ENST00000348849	2	161128662	161350305
TADA2B	ENST00000310074	4	7043626	7059679
MSANTD1	ENST00000438480	4	3246096	3273465
REPS2	ENST00000357277	X	16964814	17171395
NPC1	ENST00000269228	18	21086148	21166862
SMC5	ENST00000361138	9	72873937	72969804
DENND1B	ENST00000367396	1	197473878	197744826
TLR8	ENST00000218032	X	12924739	12941288
GAS6	ENST00000327773	13	114523522	114567046
MROH1	ENST00000528919	8	145202919	145316843
COPS8	ENST00000354371	2	237993955	238009109
STK32C	ENST00000298630	10	134020996	134145351
GJB1	ENST00000374022	X	70435044	70445366
RPL30	ENST00000521291	8	99037079	99058697
TNF	ENST00000449264	6	31543344	31546113
UCK2	ENST00000367879	1	165796768	165880855
RNF121	ENST00000361756	11	71639747	71708643
KLHL11	ENST00000319121	17	40009797	40021684
TBC1D9	ENST00000442267	4	141541919	141677274
AFAP1L2	ENST00000304129	10	116054583	116164515
WBSCR17	ENST00000333538	7	70597155	71178585
ZNF624	ENST00000311331	17	16524051	16557170
FAM91A1	ENST00000334705	8	124780696	124827692
COPS7B	ENST00000350033	2	232646381	232673963
HAPLN1	ENST00000274341	5	82933624	83017432
GPBP1L1	ENST00000355105	1	46092976	46153785
SH3PXD2B	ENST00000311601	5	171752185	171881527
ENC1	ENST00000302351	5	73923234	73937249
GALNT2	ENST00000366672	1	230193536	230417870
NETO2	ENST00000562435	16	47111614	47177908
STT3A	ENST00000392708	11	125461607	125495110
PPP1R13L	ENST00000418234	19	45882892	45909607
KIAA1731	ENST00000325212	11	93394805	93463522
CNN3	ENST00000370206	1	95362507	95392834
PIK3R2	ENST00000222254	19	18263928	18281350
PPP4C	ENST00000279387	16	30087299	30096698
VKORC1L1	ENST00000360768	7	65338254	65424550
PSMA4	ENST00000044462	15	78832747	78841604
MYCBP	ENST00000397572	1	39328636	39347289
THAP1	ENST00000254250	8	42691817	42698468
FAM20C	ENST00000313766	7	192969	300711
SMC6	ENST00000448223	2	17845079	17981509
NCAPD3	ENST00000534548	11	134020014	134095348
MAPRE3	ENST00000233121	2	27193480	27250064
ESRRA	ENST00000405666	11	64073044	64084215
ALAS1	ENST00000394965	3	52232102	52248343
RNF4	ENST00000511600	4	2463947	2627047
PDP1	ENST00000396200	8	94870035	94938294
NPTXR	ENST00000333039	22	39214457	39239987
SYT9	ENST00000318881	11	7260009	7490273
E2F4	ENST00000379378	16	67226072	67232821
PEX5L	ENST00000467460	3	179512746	179754841
NFYC	ENST00000425457	1	41157320	41237275
UGGT1	ENST00000259253	2	128848774	128953251
RIMKLB	ENST00000357529	12	8834196	8935691
MCM3AP	ENST00000397708	21	47655047	47706211
LRRTM1	ENST00000295057	2	80515483	80531874
ARMC5	ENST00000268314	16	31469401	31478487
CACNB4	ENST00000539935	2	152689290	152955593
NPRL3	ENST00000399953	16	134273	188859
ITSN2	ENST00000355123	2	24425733	24583583
LTBR	ENST00000228918	12	6484211	6500733
NUDCD3	ENST00000355451	7	44418720	44530479
SPTA1	ENST00000368147	1	158580496	158656488
ARC	ENST00000356613	8	143692405	143696833
RENBP	ENST00000393700	X	153200716	153210232
CXorf21	ENST00000378962	X	30576941	30595961
NUDT4	ENST00000337179	12	93771659	93797024
MAGOH	ENST00000371470	1	53692564	53704282
ATXN3	ENST00000393287	14	92524896	92572965
WARS	ENST00000355338	14	100800125	100843142
UBE2M	ENST00000253023	19	59067079	59070327
ABCC4	ENST00000376887	13	95672083	95953687
ARSE	ENST00000381134	X	2852699	2886286
UNC5C	ENST00000453304	4	96083655	96470357
KHDRBS3	ENST00000355849	8	136469700	136668965
DENND6A	ENST00000311128	3	57611184	57678816
MCTP1	ENST00000515393	5	94039446	94620279
PSMC4	ENST00000157812	19	40476912	40487348
TBCD	ENST00000355528	17	80709940	80900724
SPECC1	ENST00000261503	17	19912657	20222339
LRRK1	ENST00000388948	15	101459420	101610317
GRINA	ENST00000313269	8	145064226	145067583
ZNF207	ENST00000394670	17	30677136	30708905
CRYBG3	ENST00000182096	3	97595819	97663810
CXorf30	ENST00000378657	X	36246735	36403431
C7orf43	ENST00000316937	7	99752043	99756338
CNKSR3	ENST00000607772	6	154708638	154831793
DNAJB12	ENST00000338820	10	74092588	74114988
WNT5B	ENST00000397196	12	1639057	1756409
GLTSCR2	ENST00000246802	19	48248779	48260315
HS3ST4	ENST00000331351	16	25703347	26149009
GAREML	ENST00000401533	2	26395960	26412532
UST	ENST00000367463	6	149068464	149398126
CTD-2116N17.1	ENST00000606793	15	64472547	64665980
FAM69A	ENST00000370310	1	93307724	93427057
SNAI2	ENST00000396822	8	49830249	49834299
CARS	ENST00000380525	11	3022152	3078843
CCNYL1	ENST00000339882	2	208576264	208626563
SRP72	ENST00000342756	4	57333081	57369839
TMCC2	ENST00000358024	1	205197304	205242471
YAF2	ENST00000442791	12	42550906	42632151
SNRPB	ENST00000438552	20	2442280	2451499
UBE2J1	ENST00000435041	6	90036344	90062567
DHX8	ENST00000262415	17	41561233	41621831
B3GNT7	ENST00000287590	2	232260254	232265875
SRPK3	ENST00000370101	X	153041867	153051187
ZBTB8OS	ENST00000468695	1	33065773	33116504
ATP1A2	ENST00000361216	1	160085549	160113381
GGH	ENST00000260118	8	63927638	63951730
PWWP2B	ENST00000305233	10	134210672	134231367
ST3GAL1	ENST00000319914	8	134467091	134584183
EIF4E2	ENST00000258416	2	233414762	233448354
NPR2	ENST00000342694	9	35792151	35809729
KLHL14	ENST00000359358	18	30252634	30353025
FRMD6	ENST00000344768	14	51955818	52197445
TMEM115	ENST00000266025	3	50392180	50397041
VPS52	ENST00000445902	6	33218049	33239824
AKIRIN1	ENST00000432648	1	39456895	39471731
NETO1	ENST00000327305	18	70409549	70535381
DAXX	ENST00000374542	6	33286335	33297046
ITM2C	ENST00000326427	2	231729354	231743963
DTL	ENST00000366991	1	212208919	212280742
MID2	ENST00000262843	X	107068985	107170423
GRB14	ENST00000263915	2	165349322	165478358
NUAK1	ENST00000261402	12	106457118	106533811
IL2RB	ENST00000216223	22	37521878	37571094
SEPT2	ENST00000391973	2	242254515	242293442
PKD2	ENST00000237596	4	88928820	88998929
RPL17-C18orf32	ENST00000584895	18	47008051	47017956
RHOBTB2	ENST00000519685	8	22844930	22877712
PAX1	ENST00000398485	20	21686297	21696620
DUSP8	ENST00000397374	11	1575274	1593150
TCF3	ENST00000262965	19	1609291	1652604
ZNF768	ENST00000380412	16	30535325	30538142
ZHX3	ENST00000309060	20	39807088	39946312
TENC1	ENST00000314276	12	53440753	53458156
DCAF11	ENST00000446197	14	24583404	24594451
PGM2L1	ENST00000298198	11	74041363	74109518
CCNT1	ENST00000261900	12	49082247	49110681
MSH6	ENST00000234420	2	47922669	48037240
TGFBR3	ENST00000212355	1	92145902	92371892
ANKH	ENST00000284268	5	14704910	14871887
ZNF250	ENST00000292579	8	146076632	146127553
KRIT1	ENST00000394507	7	91828283	91875480
UBE2L3	ENST00000458578	22	21903736	21978323
PQBP1	ENST00000218224	X	48755195	48760420
TM4SF2	ENST00000465127	X	37208583	38546928
KIAA1467	ENST00000197268	12	13197218	13295455
SIAH1	ENST00000356721	16	48390275	48482313
YWHAQ	ENST00000381844	2	9724101	9771143
TIMP2	ENST00000262768	17	76849059	76921469
GPR137C	ENST00000321662	14	53019866	53104431
APLNR	ENST00000606794	11	57001051	57004709
PWP2	ENST00000291576	21	45527171	45551063
PCSK5	ENST00000545128	9	78505560	78977255
TBC1D22B	ENST00000373491	6	37225548	37300746
MACROD1	ENST00000255681	11	63766030	63933578
SNIP1	ENST00000296215	1	38000050	38019903
RNF113B	ENST00000267291	13	98828039	98829519
CCDC117	ENST00000249064	22	29168662	29185283
TEX2	ENST00000258991	17	62224587	62340661
ZNF689	ENST00000287461	16	30613879	30635333
ELMOD2	ENST00000323570	4	141445312	141474924
LPPR1	ENST00000374874	9	103790991	104087417
STARD8	ENST00000374599	X	67867508	67945684
ZNF358	ENST00000597229	19	7580178	7585912
GAN	ENST00000568107	16	81348557	81424489
RUFY2	ENST00000388768	10	70100864	70167051
THAP4	ENST00000407315	2	242523820	242576864
ARHGEF40	ENST00000298694	14	21538429	21558399
CBFA2T3	ENST00000268679	16	88941266	89043612
LAG3	ENST00000203629	12	6881678	6887621
MNX1	ENST00000252971	7	156786745	156803345
VGF	ENST00000249330	7	100805790	100808874
GARNL3	ENST00000373387	9	129986544	130155939
MED23	ENST00000368068	6	131895106	131949369
ZNF566	ENST00000454319	19	36936021	36980804
ZNF335	ENST00000322927	20	44577292	44600833
ADAM19	ENST00000257527	5	156822542	157002783
CDC42	ENST00000344548	1	22379120	22419437
ABCA3	ENST00000301732	16	2325882	2390747
GET4	ENST00000265857	7	916189	936073
AP2S1	ENST00000263270	19	47341393	47354249
RNF44	ENST00000274811	5	175953698	175965026
DUSP16	ENST00000228862	12	12628829	12715317
ATL2	ENST00000378954	2	38522022	38604427
CD79A	ENST00000221972	19	42381190	42385439
PCNP	ENST00000265260	3	101292939	101313281
VPS36	ENST00000378060	13	52986737	53024763
NOS3	ENST00000297494	7	150688083	150711676
TMF1	ENST00000398559	3	69068978	69101484
GRAMD1A	ENST00000317991	19	35485688	35517375
IRS1	ENST00000305123	2	227596033	227664475
PJA2	ENST00000361189	5	108670410	108745695
AGPAT6	ENST00000396987	8	41434706	41482520
C1QTNF5	ENST00000445041	11	119209652	119217383
ANTXR2	ENST00000307333	4	80822303	81046608
DUSP7	ENST00000495880	3	52082935	52090566
GALNT4	ENST00000529983	12	89913185	89920039
LZTS2	ENST00000370220	10	102756375	102767593
RFFL	ENST00000315249	17	33333009	33416338
SIRT1	ENST00000212015	10	69644427	69678147
KIAA1549L	ENST00000321505	11	33563618	33695648
CBL	ENST00000264033	11	119076752	119178859
YWHAH	ENST00000248975	22	32340447	32353590
GART	ENST00000381831	21	34876238	34915797
MCF2L	ENST00000535094	13	113548692	113754053
UNC119B	ENST00000344651	12	121148238	121161443
TMEM72	ENST00000389583	10	45406648	45432450
GABARAPL1	ENST00000266458	12	10365057	10375727
AKTIP	ENST00000394657	16	53524952	53538323
CACNA1H	ENST00000348261	16	1203241	1271771
COL8A1	ENST00000261037	3	99357319	99518070
USP21	ENST00000368002	1	161129240	161135513
TRIP11	ENST00000267622	14	92432335	92507240
CDCA3	ENST00000538862	12	6953957	6961230
TECPR1	ENST00000447648	7	97843936	97881563
FKBP4	ENST00000001008	12	2904119	2914576
COL15A1	ENST00000375001	9	101705461	101833069
DNM1L	ENST00000549701	12	32832134	32898486
CBX7	ENST00000216133	22	39516172	39548679
HNF4A	ENST00000316099	20	42984340	43061485
CSF2	ENST00000296871	5	131409483	131411859
HYDIN	ENST00000393567	16	70841281	71264625
MBNL3	ENST00000370853	X	131503345	131623996
RGS1	ENST00000367459	1	192544857	192549161
MORC1	ENST00000232603	3	108677086	108836989
PNPLA8	ENST00000422087	7	108110866	108210110
EPRS	ENST00000366923	1	220141943	220220000
TBC1D10C	ENST00000312390	11	67171386	67177560
IL27	ENST00000356897	16	28510683	28523372
ZNF81	ENST00000376954	X	47696301	47861960
SH3RF1	ENST00000284637	4	170015407	170192256
NXT2	ENST00000218004	X	108779010	108787919
PDE3B	ENST00000282096	11	14665269	14892350
RHBDF2	ENST00000313080	17	74466973	74497872
CHPF	ENST00000243776	2	220403669	220408509
OLIG3	ENST00000367734	6	137813336	137815531
NAP1L2	ENST00000373517	X	72432135	72434684
PEG3	ENST00000326441	19	57321445	57352096
NFXL1	ENST00000507489	4	47849257	47916653
IL1R1	ENST00000410023	2	102681004	102796334
PXN	ENST00000267257	12	120648250	120703574
SPDYA	ENST00000334056	2	29005383	29073477
MYPN	ENST00000358913	10	69865912	69971774
MYO1F	ENST00000338257	19	8585674	8642461
KCNAB1	ENST00000490337	3	155755490	156256545
SLC9A2	ENST00000233969	2	103236166	103327777
SEH1L	ENST00000399892	18	12947132	12987535
FYTTD1	ENST00000241502	3	197464050	197514467
PPP1R15B	ENST00000367188	1	204372515	204380919
FAT2	ENST00000261800	5	150883654	150948505
SMAD7	ENST00000262158	18	46446223	46477081
PTEN	ENST00000371953	10	89622870	89731687
SPRYD3	ENST00000301463	12	53458388	53473204
RPS15	ENST00000586686	19	1438358	1440583
AADAT	ENST00000337664	4	170981373	171012850
SSU72	ENST00000291386	1	1477053	1510249
ZNF574	ENST00000600245	19	42572629	42585701
SETD3	ENST00000331768	14	99864083	99947216
PALLD	ENST00000505667	4	169418217	169849608
ABCB4	ENST00000265723	7	87031013	87109751
NFYA	ENST00000341376	6	41040684	41067715
EDF1	ENST00000224073	9	139756571	139760738
FUT8	ENST00000360689	14	65877310	66210839
PDIA4	ENST00000286091	7	148700154	148725733
HMGA1	ENST00000447654	6	34204650	34214008
FAM134A	ENST00000430297	2	220040947	220050201
TPM4	ENST00000538887	19	16177831	16213813
KLHL18	ENST00000232766	3	47324407	47388306
FNTB	ENST00000246166	14	65381203	65529368
RBM44	ENST00000316997	2	238707032	238751451
ZNF398	ENST00000475153	7	148823508	148880116
MAP2K5	ENST00000178640	15	67835047	68099461
FARP1	ENST00000319562	13	98794816	99102027
RABGAP1L	ENST00000251507	1	174128548	174964445
SLC30A3	ENST00000233535	2	27476552	27498685
MAL	ENST00000309988	2	95691422	95719737
PELI1	ENST00000358912	2	64319786	64371588
BTBD7	ENST00000334746	14	93703896	93799438
RNF138	ENST00000261593	18	29671818	29711524
RAB9A	ENST00000464506	X	13707244	13728625
ZNF12	ENST00000405858	7	6728064	6746554
DHDDS	ENST00000360009	1	26758773	26797785
FGF8	ENST00000320185	10	103529899	103535854
UNC93B1	ENST00000227471	11	67758575	67772452
HCK	ENST00000375852	20	30639991	30689659
CTNNBL1	ENST00000361383	20	36322408	36500531
PDE5A	ENST00000354960	4	120415550	120550146
KCNJ6	ENST00000609713	21	38979678	39288749
LPIN2	ENST00000261596	18	2916992	3013313
MXD4	ENST00000337190	4	2249159	2264021
ADAD1	ENST00000296513	4	123300121	123350957
KLHL20	ENST00000209884	1	173684080	173755840
SLC18A2	ENST00000298472	10	119000604	119038941
VARS	ENST00000375663	6	31745295	31763730
EIF1	ENST00000469257	17	39845137	39848920
CALB1	ENST00000265431	8	91070836	91107703
TFG	ENST00000240851	3	100428205	100467810
GPC6	ENST00000377047	13	93879095	95059655
ZC3H12A	ENST00000373087	1	37940153	37949980
CERS6	ENST00000392687	2	169312372	169631644
ALDH1A3	ENST00000329841	15	101417919	101456831
SIPA1	ENST00000394224	11	65405568	65418401
ZSCAN20	ENST00000361328	1	33938246	33962107
KIAA1279	ENST00000361983	10	70748487	70776738
DMPK	ENST00000343373	19	46272975	46285810
KIF13B	ENST00000524189	8	28924796	29120641
FAM46D	ENST00000538312	X	79591003	79700810
NAPA	ENST00000263354	19	47990894	48018497
SLC25A11	ENST00000225665	17	4840425	4843546
PLA2G15	ENST00000219345	16	68279207	68294961
VASN	ENST00000304735	16	4421849	4433529
SOX8	ENST00000293894	16	1031808	1036979
RASGRP3	ENST00000403687	2	33661391	33789817
EMILIN1	ENST00000380320	2	27301435	27309271
NDNF	ENST00000379692	4	121956768	121994176
CTB-102L5.4	ENST00000587519	19	38779791	38795550
ZNF112	ENST00000337401	19	44830708	44871377
FSIP2	ENST00000343098	2	186603355	186698017
GPR85	ENST00000297146	7	112718386	112727833
CHTF8	ENST00000574807	16	69152757	69154331
STYX	ENST00000354586	14	53196898	53241716
TMEM178A	ENST00000281961	2	39892122	39945103
FOXI1	ENST00000306268	5	169532901	169536727
RAB4B	ENST00000594800	19	41284121	41302847
RNF208	ENST00000392827	9	140114707	140116033
ATP6V1E1	ENST00000253413	22	18074902	18111584
TMEM184B	ENST00000361906	22	38615298	38669040
NELFA	ENST00000382882	4	1984441	2043630
NDFIP2	ENST00000218652	13	80055287	80130210
GPR114	ENST00000340339	16	57576333	57625593
NEUROD1	ENST00000295108	2	182537815	182545603
SEC23IP	ENST00000369075	10	121652223	121702014
SLC7A5	ENST00000261622	16	87863629	87903094
CNTN3	ENST00000263665	3	74311719	74570291
OSBP2	ENST00000332585	22	31089769	31303811
FGF7	ENST00000267843	15	49715293	49780972
MSANTD3-TMEFF1	ENST00000502978	9	103204553	103339918
HINFP	ENST00000350777	11	118992297	119006752
LARP6	ENST00000299213	15	71123863	71146498
NEFM	ENST00000221166	8	24770525	24776607
PCSK7	ENST00000320934	11	117075053	117103241
RPS6KA1	ENST00000531382	1	26856252	26901521
CNNM1	ENST00000356713	10	101088856	101154087
SHOX	ENST00000381578	X	585079	620146
USP36	ENST00000542802	17	76783463	76837523
EIF2AK2	ENST00000233057	2	37326353	37384208
PDE3A	ENST00000359062	12	20522179	20837315
ARHGEF3	ENST00000338458	3	56761446	57113357
DMWD	ENST00000270223	19	46286205	46296060
GOLGA4	ENST00000356847	3	37284668	37408242
VAX1	ENST00000369206	10	118888032	118897812
NFE2	ENST00000540264	12	54685895	54694905
ZNF366	ENST00000318442	5	71738479	71803554
ZNF784	ENST00000325351	19	56132108	56135967
ZNF791	ENST00000343325	19	12721732	12742735
GAL3ST1	ENST00000402321	22	30950622	30970574
RNF25	ENST00000295704	2	219528587	219537134
TNPO3	ENST00000265388	7	128594948	128695198
NCS1	ENST00000372398	9	132934857	132999583
BRD8	ENST00000254900	5	137475455	137514675
TAF6L	ENST00000294168	11	62538775	62554814
GPR98	ENST00000405460	5	89825161	90460038
ALS2	ENST00000264276	2	202565277	202645912
MAPK9	ENST00000452135	5	179660143	179719099
CNTNAP4	ENST00000478060	16	76311176	76593135
DNAJC3	ENST00000602402	13	96329393	96447243
FAM179B	ENST00000361577	14	45431411	45543634
UBAP2	ENST00000379238	9	33921691	34048947
FAM57B	ENST00000380495	16	30035748	30064299
CXADR	ENST00000284878	21	18884700	18965897
SEMA3C	ENST00000265361	7	80371854	80551675
FAM134C	ENST00000309428	17	40731531	40762641
CPS1	ENST00000430249	2	211342406	211543831
MTA3	ENST00000407270	2	42721709	42984087
MAEA	ENST00000303400	4	1283639	1333935
CDV3	ENST00000264993	3	133292574	133309105
TMEM184C	ENST00000296582	4	148538534	148593195
TTC13	ENST00000366661	1	231041989	231114621
CHRD	ENST00000204604	3	184097861	184108524
RHOC	ENST00000285735	1	113243728	113250056
PALM	ENST00000338448	19	708953	748329
HES7	ENST00000541682	17	8023908	8027410
TUBG1	ENST00000251413	17	40761694	40767252
RP11-73M18.2	ENST00000472726	14	104029299	104152261
ZHX2	ENST00000314393	8	123793633	123986750
ADIPOR2	ENST00000357103	12	1797740	1897844
DNAJB11	ENST00000439351	3	186285192	186315061
PAK1IP1	ENST00000379568	6	10694928	10710015
CPNE8	ENST00000331366	12	39040624	39301232
PEX14	ENST00000356607	1	10532345	10690815
SNX25	ENST00000504273	4	186125391	186291339
ZNF853	ENST00000457543	7	6655248	6663921
AIP	ENST00000279146	11	67250512	67258574
CXCL13	ENST00000286758	4	78432907	78532988
ZIC5	ENST00000267294	13	100615218	100624163
TGFBR2	ENST00000359013	3	30647994	30735634
EPB41	ENST00000343067	1	29213603	29446553
TRAK1	ENST00000327628	3	42055294	42267381
G3BP1	ENST00000394123	5	151150606	151192346
ALX4	ENST00000329255	11	44281994	44331716
TSPAN9	ENST00000011898	12	3186521	3395730
ALDH18A1	ENST00000371224	10	97365696	97416463
BIRC3	ENST00000263464	11	102188215	102210134
CNTN4	ENST00000397461	3	2140497	3099645
GXYLT1	ENST00000398675	12	42475647	42538681
TEFM	ENST00000581216	17	29224354	29233838
ETAA1	ENST00000272342	2	67624451	67637677
RBM3	ENST00000376759	X	48432837	48437454
ESRRB	ENST00000380887	14	76776957	76968178
ITGB3	ENST00000559488	17	45331212	45421658
NLRP3	ENST00000336119	1	247579458	247612410
PARN	ENST00000437198	16	14529558	14726585
SCARB1	ENST00000261693	12	125261402	125367214
BDNF	ENST00000438929	11	27676440	27743605
HTR2A	ENST00000378688	13	47405685	47471169
CDKAL1	ENST00000274695	6	20534688	21232635
SLC44A5	ENST00000370855	1	75667816	76076801
FLRT3	ENST00000378053	20	14303634	14318262
FBXL2	ENST00000484457	3	33318517	33445154
NADK2	ENST00000381937	5	36192694	36242381
RNF170	ENST00000534961	8	42704780	42752433
TTL	ENST00000233336	2	113239731	113299316
MAPK4	ENST00000400384	18	48086448	48258194
RPL38	ENST00000311111	17	72199721	72206794
TDRKH	ENST00000368822	1	151742583	151763892
ZNF668	ENST00000539836	16	31072164	31085641
RAB39B	ENST00000369454	X	154487526	154493874
AC104534.3	ENST00000594769	19	39308111	39330818
TCF21	ENST00000367882	6	134210276	134216691
FBLN2	ENST00000404922	3	13573824	13679922
PAM	ENST00000304400	5	102089685	102366809
RACGAP1	ENST00000434422	12	50370706	50426919
ZNF646	ENST00000300850	16	31085743	31095517
CPLX1	ENST00000304062	4	778745	819986
CACNA1S	ENST00000362061	1	201008642	201081694
ZFP90	ENST00000570495	16	68563993	68609975
NCOA7	ENST00000368357	6	126102307	126252266
NRBP2	ENST00000442628	8	144915764	144924200
EPHA5	ENST00000273854	4	66185281	66536213
CKAP4	ENST00000378026	12	106631655	106698057
VAV2	ENST00000371850	9	136627016	136857726
PKMYT1	ENST00000262300	16	3018025	3030540
LIMK2	ENST00000340552	22	31608225	31676066
TMEM181	ENST00000367090	6	158957468	159056460
NAA10	ENST00000464845	X	153194695	153200676
COL4A3	ENST00000396578	2	228029281	228179508
NALCN	ENST00000251127	13	101706130	102068843
FEM1B	ENST00000306917	15	68570141	68588203
CFB	ENST00000425368	6	31895475	31919861
BRD9	ENST00000467963	5	850406	892939
MBD2	ENST00000256429	18	51679079	51751158
AKAP5	ENST00000394718	14	64932217	64941221
OSBPL1A	ENST00000319481	18	21742008	21977844
SIX1	ENST00000247182	14	61110133	61124977
CHRDL1	ENST00000372042	X	109917084	110039286
RHOV	ENST00000220507	15	41164412	41166487
RNF26	ENST00000311413	11	119205237	119208023
SCAP	ENST00000265565	3	47455203	47518616
DHCR24	ENST00000371269	1	55315306	55352891
POLDIP3	ENST00000252115	22	42979727	43010968
MYLPF	ENST00000322861	16	30382255	30389312
PRKAR2A	ENST00000265563	3	48782030	48885279
MSTN	ENST00000260950	2	190920423	190927455
PLD5	ENST00000536534	1	242246288	242687998
KCTD9	ENST00000221200	8	25285366	25315992
SSH1	ENST00000326495	12	109176466	109251366
PXDN	ENST00000252804	2	1635659	1748624
RPA2	ENST00000373912	1	28218035	28241257
SCAMP5	ENST00000361900	15	75249560	75313837
FBXO34	ENST00000313833	14	55738021	55828636
HACE1	ENST00000262903	6	105175968	105307794
INPP5F	ENST00000361976	10	121485609	121588652
SLC25A19	ENST00000402418	17	73269073	73285591
RGS10	ENST00000369103	10	121259340	121302220
ZBTB7B	ENST00000417934	1	154975127	154990998
KLHL12	ENST00000367261	1	202860228	202897764
PPP2CB	ENST00000221138	8	30631973	30671830
RBM7	ENST00000540163	11	114270752	114284925
SLA	ENST00000427060	8	134048973	134115298
STK4	ENST00000372806	20	43595115	43708600
GFRA1	ENST00000355422	10	117816444	118032979
GKAP1	ENST00000376371	9	86354336	86444431
NHSL2	ENST00000540800	X	71130938	71363424
PHLPP2	ENST00000568954	16	71671738	71758604
AKAP17A	ENST00000313871	X	1710486	1721407
DHX29	ENST00000251636	5	54552073	54603550
ZW10	ENST00000200135	11	113603909	113644533
CSRNP1	ENST00000273153	3	39183346	39196053
TNFSF8	ENST00000223795	9	117656003	117692697
CTSS	ENST00000368985	1	150702672	150738433
MPHOSPH8	ENST00000361479	13	20207788	20247599
IGSF21	ENST00000251296	1	18434240	18704977
SRRM3	ENST00000326382	7	75831216	75916605
JAK3	ENST00000458235	19	17935589	17958880
KCNA6	ENST00000433855	12	4918342	4960277
FAM49A	ENST00000381323	2	16730727	16847599
ARPC5	ENST00000294742	1	183592401	183604892
SPPL2A	ENST00000261854	15	50999506	51058005
LARS	ENST00000394434	5	145492601	145562223
RNF6	ENST00000381588	13	26706253	26796791
FARSA	ENST00000314606	19	13033293	13044851
RAB33A	ENST00000257017	X	129305623	129318844
SLC11A2	ENST00000394904	12	51373184	51422349
FRMD8	ENST00000317568	11	65154070	65180996
TDRD15	ENST00000405799	2	21346789	21366144
SH3RF3	ENST00000309415	2	109745804	110262207
ANKRD44	ENST00000409919	2	197831741	198175897
GATA4	ENST00000335135	8	11534468	11617511
GYS1	ENST00000323798	19	49471382	49496567
AKAP2	ENST00000555236	9	112542769	112934792
BTF3	ENST00000380591	5	72794233	72801460
ST8SIA1	ENST00000396037	12	22216707	22589975
KDM1B	ENST00000297792	6	18155560	18224084
PALM2-AKAP2	ENST00000374530	9	112542589	112934792
SLC4A3	ENST00000373762	2	220492049	220506702
POM121	ENST00000395270	7	72349936	72421979
EPHA3	ENST00000336596	3	89156674	89531284
GOLGA5	ENST00000163416	14	93260576	93306308
POLD1	ENST00000440232	19	50887461	50921273
CCDC88B	ENST00000356786	11	64107695	64125006
CYHR1	ENST00000438911	8	145674965	145691060
PDE1A	ENST00000435564	2	183004763	183387919
SHROOM2	ENST00000380913	X	9754496	9917483
GPR88	ENST00000315033	1	101003693	101007574
CTBP2	ENST00000309035	10	126676421	126849739
RPL24	ENST00000394077	3	101399935	101405626
